Ordinal,Function,Ordinal_in_Function
234,??0CPageSetupDialog@@QAE@KPAVCWnd@@@Z @ 469 NONAME,False
235,??0CPaintDC@@QAE@PAVCWnd@@@Z @ 470 NONAME,False
236,??0CPalette@@QAE@XZ @ 471 NONAME,False
237,??0CPen@@QAE@HHK@Z @ 472 NONAME,False
238,??0CPen@@QAE@HHPBUtagLOGBRUSH@@HPBK@Z @ 473 NONAME,False
239,??0CPen@@QAE@XZ @ 474 NONAME,False
240,??0CPictureHolder@@QAE@XZ @ 475 NONAME,False
241,??0CPicturePropPage@@QAE@XZ @ 476 NONAME,False
242,??0CPoint@@QAE@K@Z @ 477 NONAME,False
243,??0CPoint@@QAE@UtagPOINT@@@Z @ 478 NONAME,False
244,??0CPreviewDC@@QAE@XZ @ 479 NONAME,False
245,??0CPreviewView@@QAE@XZ @ 480 NONAME,False
246,??0CPrintDialog@@IAE@AAUtagPDA@@@Z @ 481 NONAME,False
247,??0CPrintDialog@@QAE@HKPAVCWnd@@@Z @ 482 NONAME,False
248,??0CPrintInfo@@QAE@XZ @ 483 NONAME,False
249,??0CPrintPreviewState@@QAE@XZ @ 484 NONAME,False
250,??0CProgressCtrl@@QAE@XZ @ 485 NONAME,False
251,??0CPropbagPropExchange@@QAE@PAUIPropertyBag@@PAUIErrorLog@@HH@Z @ 486 NONAME,False
252,??0CProperty@@QAE@KQAXK@Z @ 487 NONAME,False
253,??0CProperty@@QAE@XZ @ 488 NONAME,False
254,??0CPropertyPage@@QAE@II@Z @ 489 NONAME,False
255,??0CPropertyPage@@QAE@PBDI@Z @ 490 NONAME,False
256,??0CPropertyPage@@QAE@XZ @ 491 NONAME,False
257,??0CPropertySection@@QAE@U_GUID@@@Z @ 492 NONAME,False
258,??0CPropertySection@@QAE@XZ @ 493 NONAME,False
259,??0CPropertySet@@QAE@U_GUID@@@Z @ 494 NONAME,False
260,??0CPropertySet@@QAE@XZ @ 495 NONAME,False
261,??0CPropertySheet@@QAE@IPAVCWnd@@I@Z @ 496 NONAME,False
262,??0CPropertySheet@@QAE@PBDPAVCWnd@@I@Z @ 497 NONAME,False
263,??0CPropertySheet@@QAE@XZ @ 498 NONAME,False
264,??0CPropsetPropExchange@@QAE@AAVCPropertySection@@PAUIStorage@@H@Z @ 499 NONAME,False
265,??0CPtrArray@@QAE@XZ @ 500 NONAME,False
266,??0CPtrList@@QAE@H@Z @ 501 NONAME,False
267,??0CRecentFileList@@QAE@IPBD0HH@Z @ 502 NONAME,False
268,??0CRecordset@@QAE@PAVCDatabase@@@Z @ 503 NONAME,False
269,??0CRecordView@@IAE@I@Z @ 504 NONAME,False
270,??0CRecordView@@IAE@PBD@Z @ 505 NONAME,False
271,??0CRectTracker@@QAE@PBUtagRECT@@I@Z @ 506 NONAME,False
272,??0CRectTracker@@QAE@XZ @ 507 NONAME,False
273,??0CReObject@@QAE@PAVCRichEditCntrItem@@@Z @ 508 NONAME,False
274,??0CReObject@@QAE@XZ @ 509 NONAME,False
275,??0CResetPropExchange@@QAE@XZ @ 510 NONAME,False
276,??0CRgn@@QAE@XZ @ 511 NONAME,False
277,??0CRichEditCntrItem@@QAE@PAU_reobject@@PAVCRichEditDoc@@@Z @ 512 NONAME,False
278,??0CRichEditCtrl@@QAE@XZ @ 513 NONAME,False
279,??0CRichEditDoc@@IAE@XZ @ 514 NONAME,False
280,??0CRichEditView@@QAE@XZ @ 515 NONAME,False
281,??0CScrollBar@@QAE@XZ @ 516 NONAME,False
282,??0CScrollView@@IAE@XZ @ 517 NONAME,False
283,??0CSemaphore@@QAE@JJPBDPAU_SECURITY_ATTRIBUTES@@@Z @ 518 NONAME,False
